team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2022/2023,England,36,18,18,0,25,13,12,6,3,3,5,2,3,2.25,2.33,2.17,2,3,1,2,83,42,41,125,73,52,48,35,25,17,23,18,39,34,46,77,65,96,13,3,10,21,14,7,3,2,1,24,10,14,209,125,84,49,17,32,59,63,56,579,344,235,227,129,98,352,215,137,341,163,178,38,18,20,15,8,7,23,10,13,19,8,11,11,7,4,6,3,3,1.89,1.72,2.06,3.47,4.06,2.89,2.31,2.67,1.94,1.17,1.39,0.94,1.47,1.44,1.5,1.06,1,1.11,0.42,0.44,0.39,35,31,25,19,11,4,17,17,16,13,8,2,18,14,9,6,3,2,1,5,11,17,25,32,1,1,2,5,10,16,0,4,9,12,15,16,97,86,69,53,31,11,94,94,89,72,44,11,100,78,50,33,17,11,3,14,31,47,69,89,6,6,11,28,56,89,0,22,50,67,83,89,28,18,7,14,9,3,14,9,4,78,50,19,78,50,17,78,50,22,69,72,67,-2,36,17,56,58,78,39,8,11,6,67,56,78,24,11,13,67,61,72,12,6,6,33,33,33,8,5,3,22,28,17,53,44,61,31,39,22,17,17,17,5.81,6.94,4.67,1.36,0.94,1.78,89,69,61,44,36,25,17,6,2.00,2.35,1.66,1.23,1.08,1.38,94,7,10,8,8,11,11,8,10,10,4,2,2,5,2,9,6,7,5,17,17,17,14,11,17,6
Tottenham Hotspur FC,Tottenham Hotspur,2022/2023,England,36,18,18,0,17,12,5,6,1,5,13,5,8,1.58,2.06,1.11,7,5,9,7,65,59,6,124,58,66,36,29,22,37,14,-8,50,45,56,55,74,44,10,6,4,22,10,12,4,2,2,19,10,9,192,109,83,80,42,38,50,51,49,495,256,239,216,122,94,279,134,145,392,201,191,22,12,10,31,15,16,-9,-3,-6,11,5,6,13,8,5,12,5,7,1.28,1.28,1.28,3.44,3.22,3.67,1.81,2,1.61,1.64,1.22,2.06,1.47,1.5,1.44,0.61,0.67,0.56,0.86,0.83,0.89,36,30,21,16,10,6,18,15,10,6,4,2,18,15,11,10,6,4,0,6,15,20,26,30,0,3,8,12,14,16,0,3,7,8,12,14,100,83,58,44,28,17,100,83,56,33,22,11,100,83,61,56,33,22,0,17,42,56,72,83,0,17,44,67,78,89,0,17,39,44,67,78,27,15,6,13,10,3,14,5,3,75,42,17,72,56,17,78,28,17,47,67,28,18,28,33,22,61,56,67,11,11,11,53,56,50,19,9,10,53,50,56,18,9,9,50,50,50,8,5,3,22,28,17,31,28,33,36,44,28,33,28,39,5.33,6.06,4.61,2.22,2.33,2.11,92,78,64,61,56,36,22,11,1.60,1.71,1.48,1.63,1.45,1.81,100,3,4,4,6,9,7,10,10,12,9,8,4,6,9,5,4,5,9,17,6,28,36,28,44,3
Manchester City FC,Manchester City,2022/2023,England,35,18,17,0,27,16,11,4,1,3,4,1,3,2.43,2.72,2.12,1,1,2,1,92,31,61,123,76,47,59,33,17,14,42,19,34,27,46,101,96,110,12,6,6,21,12,9,2,0,2,29,14,15,222,126,96,44,21,23,65,66,65,567,310,257,244,134,110,323,176,147,316,160,156,45,30,15,12,7,5,33,23,10,20,12,8,11,4,7,4,2,2,2.03,2.22,1.82,3.51,4.22,2.76,2.63,3.28,1.94,0.89,0.94,0.82,1.63,2.06,1.18,1.29,1.67,0.88,0.34,0.39,0.29,35,30,25,16,9,5,18,18,16,11,6,4,17,12,9,5,3,1,0,5,10,19,26,30,0,0,2,7,12,14,0,5,8,12,14,16,100,86,71,46,26,14,100,100,89,61,33,22,100,71,53,29,18,6,0,14,29,54,74,86,0,0,11,39,67,78,0,29,47,71,82,94,28,20,8,17,14,5,11,6,3,80,57,23,94,78,28,65,35,18,77,89,65,10,34,33,35,60,67,53,6,0,12,83,78,88,26,13,13,74,72,76,10,3,7,29,17,41,6,3,3,17,17,18,57,67,47,31,22,41,11,11,12,6.34,7.00,5.65,1.26,1.17,1.35,77,71,56,49,31,20,6,3,2.18,2.31,2.05,0.92,0.87,0.97,106,7,9,8,12,16,11,15,7,7,1,4,3,1,3,3,2,6,8,11,6,18,11,6,18,0
Leicester City FC,Leicester City,2022/2023,England,36,18,18,0,8,4,4,6,4,2,22,10,12,0.83,0.89,0.78,19,19,15,19,49,67,-18,116,47,69,21,28,26,41,-5,-13,66,77,58,48,63,39,6,3,3,20,8,12,11,8,3,12,4,8,131,64,67,62,30,32,48,48,49,407,205,202,183,95,88,224,110,114,378,186,192,28,15,13,35,15,20,-7,0,-7,10,5,5,12,7,5,14,6,8,1.17,1.22,1.11,3.22,2.61,3.83,1.36,1.17,1.56,1.86,1.44,2.28,1.75,1.67,1.83,0.78,0.83,0.72,0.97,0.83,1.11,35,29,23,13,6,5,17,12,11,6,1,0,18,17,12,7,5,5,1,7,13,23,30,31,1,6,7,12,17,18,0,1,6,11,13,13,97,81,64,36,17,14,94,67,61,33,6,0,100,94,67,39,28,28,3,19,36,64,83,86,6,33,39,67,94,100,0,6,33,61,72,72,29,18,11,14,10,5,15,8,6,81,50,31,78,56,28,83,44,33,22,22,22,5,17,17,17,56,44,67,31,44,17,33,22,44,14,7,7,39,39,39,19,9,10,53,50,56,10,6,4,28,33,22,28,28,28,33,39,28,39,33,44,3.64,3.56,3.72,1.72,1.67,1.78,94,83,67,53,47,22,8,6,1.22,1.24,1.20,1.62,1.49,1.75,81,6,3,5,9,6,5,3,8,4,7,9,7,9,7,6,7,6,9,17,22,11,61,56,67,0
Crystal Palace FC,Crystal Palace,2022/2023,England,36,18,18,0,11,7,4,10,6,4,15,5,10,1.19,1.5,0.89,12,13,13,12,37,46,-9,83,42,41,20,17,22,24,-2,-7,87,81,96,70,74,68,9,5,4,16,9,7,16,7,9,9,4,5,177,95,82,84,37,47,45,46,45,395,208,187,166,80,86,229,128,101,400,205,195,15,8,7,19,9,10,-4,-1,-3,6,3,3,19,11,8,11,4,7,1.03,1.11,0.94,2.31,2.33,2.28,1.03,1.11,0.94,1.28,1.22,1.33,0.94,0.94,0.94,0.42,0.44,0.39,0.53,0.5,0.56,31,24,14,6,4,3,15,13,8,3,1,1,16,11,6,3,3,2,5,12,22,30,32,33,3,5,10,15,17,17,2,7,12,15,15,16,86,67,39,17,11,8,83,72,44,17,6,6,89,61,33,17,17,11,14,33,61,83,89,92,17,28,56,83,94,94,11,39,67,83,83,89,22,9,1,10,4,1,12,5,0,61,25,3,56,22,6,67,28,0,31,39,22,7,25,28,22,44,50,39,44,39,50,25,22,28,19,10,9,53,56,50,25,12,13,69,67,72,6,4,2,17,22,11,17,17,17,53,61,44,31,22,39,4.92,5.28,4.56,2.33,2.06,2.61,78,64,44,36,31,25,19,14,1.21,1.26,1.15,1.57,1.55,1.60,47,3,3,3,4,3,7,7,4,3,5,4,3,4,4,5,8,6,7,28,33,22,42,28,56,11
Everton FC,Everton,2022/2023,England,36,18,18,0,7,5,2,11,3,8,18,10,8,0.89,1,0.78,17,18,14,17,32,56,-24,88,42,46,15,17,27,29,-12,-12,101,108,96,58,60,56,8,6,2,17,8,9,14,5,9,13,8,5,160,92,68,81,38,43,43,44,41,405,226,179,172,100,72,233,126,107,367,165,202,14,6,8,24,10,14,-10,-4,-6,7,3,4,14,9,5,15,6,9,0.97,1,0.94,2.44,2.33,2.56,0.89,0.83,0.94,1.56,1.5,1.61,1.06,0.89,1.22,0.39,0.33,0.44,0.67,0.56,0.78,33,27,16,8,3,1,17,12,8,3,2,0,16,15,8,5,1,1,3,9,20,28,33,35,1,6,10,15,16,18,2,3,10,13,17,17,92,75,44,22,8,3,94,67,44,17,11,0,89,83,44,28,6,6,8,25,56,78,92,97,6,33,56,83,89,100,11,17,56,72,94,94,24,10,4,11,4,1,13,6,3,67,28,11,61,22,6,72,33,17,19,28,11,-2,22,33,11,47,44,50,39,28,50,36,44,28,18,10,8,50,56,44,25,12,13,69,67,72,5,3,2,14,17,11,19,17,22,39,50,28,42,33,50,4.44,5.11,3.78,2.25,2.11,2.39,83,78,67,61,50,42,36,22,1.22,1.40,1.04,1.78,1.62,1.93,69,5,3,3,3,0,5,4,2,7,0,4,7,8,8,8,4,9,8,31,17,44,50,56,44,17
Southampton FC,Southampton,2022/2023,England,36,18,18,0,6,2,4,6,4,2,24,12,12,0.67,0.56,0.78,20,20,16,20,31,66,-35,97,48,49,15,16,33,33,-18,-17,105,108,101,49,49,49,4,1,3,18,10,8,15,7,8,9,4,5,152,86,66,68,26,42,45,45,45,412,220,192,153,82,71,259,138,121,414,193,221,13,5,8,28,9,19,-15,-4,-11,8,4,4,10,7,3,18,7,11,0.94,1.06,0.83,2.69,2.67,2.72,0.86,0.83,0.89,1.83,1.83,1.83,1.14,0.78,1.5,0.36,0.28,0.44,0.78,0.5,1.06,35,23,18,11,6,3,18,13,8,5,3,1,17,10,10,6,3,2,1,13,18,25,30,33,0,5,10,13,15,17,1,8,8,12,15,16,97,64,50,31,17,8,100,72,44,28,17,6,94,56,56,33,17,11,3,36,50,69,83,92,0,28,56,72,83,94,6,44,44,67,83,89,26,8,5,11,2,1,15,6,4,72,22,14,61,11,6,83,33,22,17,11,22,0,11,6,17,50,56,44,42,39,44,25,22,28,16,10,6,44,56,33,25,14,11,69,78,61,5,1,4,14,6,22,22,22,22,28,39,17,50,39,61,4.22,4.78,3.67,1.89,1.44,2.33,89,78,57,50,31,25,19,6,1.06,1.14,0.97,1.53,1.44,1.62,69,3,3,3,1,6,2,3,5,5,1,5,6,8,12,10,8,9,7,17,22,11,67,67,67,6
AFC Bournemouth,AFC Bournemouth,2022/2023,England,36,18,18,0,11,6,5,6,4,2,19,8,11,1.08,1.22,0.94,14,16,12,14,37,69,-32,106,47,59,20,17,27,42,-7,-25,87,81,96,47,60,39,8,5,3,14,8,6,16,7,9,13,7,6,138,79,59,64,29,35,40,41,38,340,192,148,157,84,73,183,108,75,348,192,156,17,10,7,37,17,20,-20,-7,-13,10,6,4,9,4,5,17,8,9,1.08,1.22,0.94,2.94,2.61,3.28,1.03,1.11,0.94,1.92,1.5,2.33,1.5,1.5,1.5,0.47,0.56,0.39,1.03,0.94,1.11,34,28,18,12,8,2,16,14,9,5,3,0,18,14,9,7,5,2,2,8,18,24,28,34,2,4,9,13,15,18,0,4,9,11,13,16,94,78,50,33,22,6,89,78,50,28,17,0,100,78,50,39,28,11,6,22,50,67,78,94,11,22,50,72,83,100,0,22,50,61,72,89,30,15,7,16,8,3,14,7,4,83,42,19,89,44,17,78,39,22,31,33,28,15,22,28,17,39,44,33,44,39,50,36,39,33,13,7,6,36,39,33,23,10,13,64,56,72,6,3,3,17,17,17,28,33,22,25,22,28,47,44,50,3.83,4.39,3.28,1.78,1.61,1.94,97,89,81,67,42,33,28,22,0.94,1.05,0.83,1.95,1.79,2.12,69,4,3,8,2,5,3,5,3,4,9,8,6,8,8,6,5,6,13,17,22,11,53,44,61,14
Manchester United FC,Manchester United,2022/2023,England,35,17,18,0,20,13,7,6,3,3,9,1,8,1.89,2.47,1.33,4,4,5,4,51,41,10,92,38,54,30,21,8,33,22,-12,62,51,77,77,191,49,16,11,5,14,6,8,7,2,5,21,12,9,181,105,76,80,37,43,54,54,54,508,273,235,218,109,109,290,164,126,390,184,206,22,12,10,17,3,14,5,9,-4,17,11,6,11,4,7,7,2,5,1.77,2.18,1.39,2.63,2.24,3,1.46,1.76,1.17,1.17,0.47,1.83,1.11,0.88,1.33,0.63,0.71,0.56,0.49,0.18,0.78,33,25,17,8,3,2,15,12,9,2,0,0,18,13,8,6,3,2,2,10,18,27,32,33,2,5,8,15,17,17,0,5,10,12,15,16,94,71,49,23,9,6,88,71,53,12,0,0,100,72,44,33,17,11,6,29,51,77,91,94,12,29,47,88,100,100,0,28,56,67,83,89,25,8,4,13,2,0,12,6,4,71,23,11,76,12,0,67,33,22,57,76,39,41,46,65,28,40,35,44,20,12,28,60,71,50,26,15,11,74,88,61,16,6,10,46,35,56,3,0,3,9,0,17,49,65,33,31,24,39,20,12,28,5.17,6.18,4.22,2.29,2.18,2.39,86,80,69,66,54,40,34,28,1.78,1.92,1.65,1.49,1.27,1.70,86,2,5,5,6,6,5,7,6,9,5,2,4,4,6,4,4,4,8,17,18,17,26,6,44,17
Liverpool FC,Liverpool,2022/2023,England,36,18,18,0,19,13,6,8,4,4,9,1,8,1.81,2.39,1.22,5,2,7,5,70,42,28,112,61,51,45,25,16,26,29,-1,46,36,65,77,101,63,14,9,5,18,9,9,8,1,7,17,11,6,217,120,97,54,27,27,61,60,61,564,321,243,235,128,107,329,193,136,373,185,188,34,21,13,21,10,11,13,11,2,14,9,5,12,5,7,10,4,6,1.5,1.78,1.22,3.11,3.39,2.83,1.94,2.5,1.39,1.17,0.89,1.44,1.53,1.72,1.33,0.94,1.17,0.72,0.58,0.56,0.61,32,26,22,13,8,5,17,13,10,7,5,4,15,13,12,6,3,1,4,10,14,23,28,31,1,5,8,11,13,14,3,5,6,12,15,17,89,72,61,36,22,14,94,72,56,39,28,22,83,72,67,33,17,6,11,28,39,64,78,86,6,28,44,61,72,78,17,28,33,67,83,94,27,17,7,14,7,6,13,10,1,75,47,19,78,39,33,72,56,6,53,72,33,27,39,50,28,50,50,50,22,6,39,47,61,33,20,10,10,56,56,56,16,6,10,44,33,56,9,6,3,25,33,17,39,50,28,33,28,39,28,22,33,6.03,6.67,5.39,1.5,1.5,1.50,83,75,56,42,36,25,19,8,1.92,2.13,1.71,1.28,1.15,1.42,103,7,7,3,12,11,4,9,8,9,7,5,3,4,5,6,2,5,5,22,22,22,25,6,44,6
Chelsea FC,Chelsea,2022/2023,England,35,18,17,0,11,6,5,10,6,4,14,6,8,1.23,1.33,1.12,11,15,10,11,36,41,-5,77,37,40,19,17,18,23,1,-6,87,85,90,77,90,67,10,6,4,16,7,9,13,7,6,16,9,7,193,107,86,80,40,40,59,59,60,443,231,212,178,90,88,265,141,124,361,179,182,14,5,9,21,5,16,-7,0,-7,7,3,4,18,11,7,10,4,6,1.11,1.11,1.12,2.2,2.06,2.35,1.03,1.06,1,1.17,1,1.35,1,0.56,1.47,0.4,0.28,0.53,0.6,0.28,0.94,31,23,15,7,1,0,16,11,7,3,0,0,15,12,8,4,1,0,4,12,20,28,34,35,2,7,11,15,18,18,2,5,9,13,16,17,89,66,43,20,3,0,89,61,39,17,0,0,88,71,47,24,6,0,11,34,57,80,97,100,11,39,61,83,100,100,12,29,53,76,94,100,21,10,4,8,2,0,13,8,4,60,29,11,44,11,0,76,47,24,31,33,29,9,29,33,24,46,39,53,37,39,35,46,50,41,20,13,7,57,72,41,23,14,9,66,78,53,6,1,5,17,6,29,20,17,24,51,61,41,29,22,35,5.51,5.94,5.06,2.29,2.22,2.35,91,80,60,56,37,34,28,23,1.58,1.61,1.55,1.45,1.37,1.54,49,2,6,2,1,6,5,4,4,6,2,4,4,7,5,1,11,2,5,29,33,24,40,33,47,14
